age_grps,state_names,initial_period,accuracy_step,time_horizon,startYear,startMonth,monthlyBirths,xi,phi,q,gamma0,gammaR,omegaVac,lambda,sigmaR,pM,rho,omegaM,alpha,mortality,SigmaL,SigmaL,SigmaL,SigmaU,SigmaU,SigmaU,Omega,Omega,Omega,kaging,pLRTI,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,contact_adj,ns
7,UV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
8,LV0IR,,,,,,,,,,,,,,,0.65,,,0.532046681,0.0004475,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
9,RV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
10,MV1I0,,,,,,,,,,,,,,,0.65,,,0.532046681,0.0004475,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
11,SV1I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
12,UV1I0,,,,,,,,,,,,,,,0.65,,,0.532046681,0.0004475,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
13,LV1I0,,,,,,,,,,,,,,,,,,1,0.0000373,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
14,RV1I0,,,,,,,,,,,,,,,,,,0.532046681,0.0000373,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
15,SV1IR,,,,,,,,,,,,,,,,,,1,0.0000373,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
16,UV1IR,,,,,,,,,,,,,,,,,,0.532046681,0.0000373,0.228923286,0.349395113,0.600746361,0.09652737,0.237684528,0.532193452,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
